304,"{""0"": ""A"", ""1"": ""D"", ""2"": ""G"", ""3"": ""G"", ""4"": ""D"", ""5"": ""C"", ""6"": ""A"", ""7"": ""C"", ""8"": ""C"", ""9"": ""F"", ""10"": ""C"", ""11"": ""D""}"
349,"{""0"": ""E"", ""1"": ""E"", ""2"": ""A"", ""3"": ""D"", ""4"": ""D"", ""5"": ""B"", ""6"": ""F"", ""7"": ""F"", ""8"": ""G"", ""9"": ""C"", ""10"": ""C"", ""11"": ""G""}"
326,"{""0"": ""F"", ""1"": ""D"", ""2"": ""C"", ""3"": ""B"", ""4"": ""A"", ""5"": ""A"", ""6"": ""F"", ""7"": ""B"", ""8"": ""E"", ""9"": ""F"", ""10"": ""C"", ""11"": ""E""}"
366,"{""0"": ""E"", ""1"": ""G"", ""2"": ""F"", ""3"": ""F"", ""4"": ""C"", ""5"": ""E"", ""6"": ""D"", ""7"": ""E"", ""8"": ""C"", ""9"": ""D"", ""10"": ""G"", ""11"": ""B""}"
344,"{""0"": ""B"", ""1"": ""F"", ""2"": ""G"", ""3"": ""G"", ""4"": ""A"", ""5"": ""F"", ""6"": ""E"", ""7"": ""B"", ""8"": ""E"", ""9"": ""D"", ""10"": ""A"", ""11"": ""C""}"
329,"{""0"": ""D"", ""1"": ""D"", ""2"": ""F"", ""3"": ""A"", ""4"": ""C"", ""5"": ""E"", ""6"": ""C"", ""7"": ""A"", ""8"": ""G"", ""9"": ""E"", ""10"": ""A"", ""11"": ""F""}"
300,"{""0"": ""D"", ""1"": ""G"", ""2"": ""C"", ""3"": ""A"", ""4"": ""B"", ""5"": ""C"", ""6"": ""F"", ""7"": ""B"", ""8"": ""F"", ""9"": ""D"", ""10"": ""B"", ""11"": ""C""}"
334,"{""0"": ""A"", ""1"": ""C"", ""2"": ""G"", ""3"": ""A"", ""4"": ""D"", ""5"": ""F"", ""6"": ""E"", ""7"": ""D"", ""8"": ""F"", ""9"": ""F"", ""10"": ""D"", ""11"": ""C""}"
348,"{""0"": ""E"", ""1"": ""D"", ""2"": ""B"", ""3"": ""G"", ""4"": ""A"", ""5"": ""E"", ""6"": ""F"", ""7"": ""G"", ""8"": ""C"", ""9"": ""C"", ""10"": ""E"", ""11"": ""D""}"
333,"{""0"": ""F"", ""1"": ""E"", ""2"": ""B"", ""3"": ""A"", ""4"": ""D"", ""5"": ""B"", ""6"": ""D"", ""7"": ""A"", ""8"": ""G"", ""9"": ""D"", ""10"": ""G"", ""11"": ""F""}"
329,"{""0"": ""D"", ""1"": ""F"", ""2"": ""B"", ""3"": ""E"", ""4"": ""G"", ""5"": ""G"", ""6"": ""C"", ""7"": ""C"", ""8"": ""A"", ""9"": ""A"", ""10"": ""F"", ""11"": ""B""}"
330,"{""0"": ""D"", ""1"": ""E"", ""2"": ""A"", ""3"": ""D"", ""4"": ""E"", ""5"": ""B"", ""6"": ""F"", ""7"": ""C"", ""8"": ""C"", ""9"": ""G"", ""10"": ""B"", ""11"": ""E""}"
299,"{""0"": ""G"", ""1"": ""D"", ""2"": ""C"", ""3"": ""C"", ""4"": ""B"", ""5"": ""B"", ""6"": ""E"", ""7"": ""B"", ""8"": ""B"", ""9"": ""F"", ""10"": ""B"", ""11"": ""D""}"
315,"{""0"": ""F"", ""1"": ""D"", ""2"": ""C"", ""3"": ""F"", ""4"": ""E"", ""5"": ""G"", ""6"": ""D"", ""7"": ""B"", ""8"": ""B"", ""9"": ""A"", ""10"": ""B"", ""11"": ""C""}"
340,"{""0"": ""B"", ""1"": ""E"", ""2"": ""G"", ""3"": ""C"", ""4"": ""D"", ""5"": ""G"", ""6"": ""D"", ""7"": ""D"", ""8"": ""D"", ""9"": ""G"", ""10"": ""C"", ""11"": ""E""}"
315,"{""0"": ""A"", ""1"": ""A"", ""2"": ""D"", ""3"": ""B"", ""4"": ""C"", ""5"": ""D"", ""6"": ""A"", ""7"": ""G"", ""8"": ""G"", ""9"": ""F"", ""10"": ""F"", ""11"": ""C""}"
376,"{""0"": ""F"", ""1"": ""F"", ""2"": ""C"", ""3"": ""B"", ""4"": ""E"", ""5"": ""C"", ""6"": ""F"", ""7"": ""E"", ""8"": ""E"", ""9"": ""G"", ""10"": ""E"", ""11"": ""C""}"
393,"{""0"": ""F"", ""1"": ""F"", ""2"": ""E"", ""3"": ""G"", ""4"": ""G"", ""5"": ""F"", ""6"": ""E"", ""7"": ""C"", ""8"": ""A"", ""9"": ""E"", ""10"": ""C"", ""11"": ""F""}"
311,"{""0"": ""F"", ""1"": ""D"", ""2"": ""B"", ""3"": ""F"", ""4"": ""A"", ""5"": ""G"", ""6"": ""D"", ""7"": ""E"", ""8"": ""A"", ""9"": ""A"", ""10"": ""A"", ""11"": ""C""}"
330,"{""0"": ""B"", ""1"": ""C"", ""2"": ""D"", ""3"": ""B"", ""4"": ""A"", ""5"": ""F"", ""6"": ""A"", ""7"": ""E"", ""8"": ""F"", ""9"": ""F"", ""10"": ""G"", ""11"": ""D""}"
341,"{""0"": ""C"", ""1"": ""F"", ""2"": ""G"", ""3"": ""B"", ""4"": ""E"", ""5"": ""A"", ""6"": ""F"", ""7"": ""A"", ""8"": ""A"", ""9"": ""E"", ""10"": ""C"", ""11"": ""G""}"
331,"{""0"": ""D"", ""1"": ""G"", ""2"": ""E"", ""3"": ""B"", ""4"": ""C"", ""5"": ""C"", ""6"": ""G"", ""7"": ""D"", ""8"": ""A"", ""9"": ""A"", ""10"": ""E"", ""11"": ""F""}"
297,"{""0"": ""B"", ""1"": ""B"", ""2"": ""F"", ""3"": ""A"", ""4"": ""G"", ""5"": ""D"", ""6"": ""C"", ""7"": ""A"", ""8"": ""G"", ""9"": ""D"", ""10"": ""A"", ""11"": ""B""}"
334,"{""0"": ""D"", ""1"": ""E"", ""2"": ""F"", ""3"": ""F"", ""4"": ""B"", ""5"": ""D"", ""6"": ""A"", ""7"": ""B"", ""8"": ""G"", ""9"": ""D"", ""10"": ""B"", ""11"": ""G""}"
